question,role,category,difficulty
What is project management?,project_manager,technical,easy
What is a project charter?,project_manager,technical,easy
What is a work breakdown structure?,project_manager,technical,easy
What is a Gantt chart?,project_manager,technical,easy
What is scope creep?,project_manager,technical,easy
What is a risk register?,project_manager,technical,easy
What is the difference between Agile and Waterfall?,project_manager,technical,easy
What is a project milestone?,project_manager,technical,easy
What PM tools have you used?,project_manager,technical,easy
Why do you want to be a project manager?,project_manager,technical,easy
Tell me about a project you managed.,project_manager,technical,easy
How do you handle a team member not delivering?,project_manager,technical,easy
How do you communicate project status?,project_manager,technical,easy
Describe delivering a project under pressure.,project_manager,technical,easy
What is a RACI matrix?,project_manager,technical,easy
What are the key responsibilities of a project manager?,project_manager,technical,easy
How do you stay updated in the project manager field?,project_manager,technical,easy
What tools does a project manager use daily?,project_manager,technical,easy
What are the biggest challenges facing project managers today?,project_manager,technical,easy
How do you measure success as a project manager?,project_manager,technical,easy
What certifications are valuable for a project manager?,project_manager,technical,easy
How does a project manager collaborate with other teams?,project_manager,technical,easy
What is your approach to continuous improvement as a project manager?,project_manager,technical,easy
How do you handle competing priorities as a project manager?,project_manager,technical,easy
What does great performance look like for a project manager?,project_manager,technical,easy
How do you approach professional development as a project manager?,project_manager,technical,easy
What industry trends should a project manager know about?,project_manager,technical,easy
How do you build credibility as a project manager?,project_manager,technical,easy
What are the common mistakes new project managers make?,project_manager,technical,easy
How do you demonstrate value as a project manager?,project_manager,technical,easy
What are the key responsibilities of a project manager?,project_manager,technical,easy
How do you stay updated in the project manager field?,project_manager,technical,easy
What tools does a project manager use daily?,project_manager,technical,easy
What are the biggest challenges facing project managers today?,project_manager,technical,easy
How do you measure success as a project manager?,project_manager,technical,easy
What certifications are valuable for a project manager?,project_manager,technical,easy
How does a project manager collaborate with other teams?,project_manager,technical,easy
What is your approach to continuous improvement as a project manager?,project_manager,technical,easy
How do you handle competing priorities as a project manager?,project_manager,technical,easy
What does great performance look like for a project manager?,project_manager,technical,easy
How do you approach professional development as a project manager?,project_manager,technical,easy
What industry trends should a project manager know about?,project_manager,technical,easy
How do you build credibility as a project manager?,project_manager,technical,easy
What are the common mistakes new project managers make?,project_manager,technical,easy
How do you demonstrate value as a project manager?,project_manager,technical,easy
What are the key responsibilities of a project manager?,project_manager,technical,easy
How do you stay updated in the project manager field?,project_manager,technical,easy
What tools does a project manager use daily?,project_manager,technical,easy
What are the biggest challenges facing project managers today?,project_manager,technical,easy
How do you measure success as a project manager?,project_manager,technical,easy
What certifications are valuable for a project manager?,project_manager,technical,easy
How does a project manager collaborate with other teams?,project_manager,technical,easy
What is your approach to continuous improvement as a project manager?,project_manager,technical,easy
How do you handle competing priorities as a project manager?,project_manager,technical,easy
What does great performance look like for a project manager?,project_manager,technical,easy
How do you approach professional development as a project manager?,project_manager,technical,easy
What industry trends should a project manager know about?,project_manager,technical,easy
How do you build credibility as a project manager?,project_manager,technical,easy
What are the common mistakes new project managers make?,project_manager,technical,easy
How do you demonstrate value as a project manager?,project_manager,technical,easy
What are the key responsibilities of a project manager?,project_manager,technical,easy
How do you stay updated in the project manager field?,project_manager,technical,easy
How do you create a project plan?,project_manager,technical,medium
What is critical path method?,project_manager,technical,medium
How do you manage project risks?,project_manager,technical,medium
What is earned value management?,project_manager,technical,medium
How do you manage a project budget?,project_manager,technical,medium
What is a change control process?,project_manager,technical,medium
How do you run a project kickoff meeting?,project_manager,technical,medium
How do you handle conflicting stakeholder priorities?,project_manager,technical,medium
Tell me about a project that went off track.,project_manager,technical,medium
Describe delivering bad news to a client.,project_manager,technical,medium
How do you motivate a team during a difficult project?,project_manager,technical,medium
A key team member resigns mid-project. How do you handle it?,project_manager,technical,medium
You are 2 weeks behind with a fixed deadline. What do you do?,project_manager,technical,medium
A stakeholder keeps changing requirements. How do you manage?,project_manager,technical,medium
How would you manage a project across 3 time zones?,project_manager,technical,medium
What are the key responsibilities of a project manager?,project_manager,technical,medium
How do you stay updated in the project manager field?,project_manager,technical,medium
What tools does a project manager use daily?,project_manager,technical,medium
What are the biggest challenges facing project managers today?,project_manager,technical,medium
How do you measure success as a project manager?,project_manager,technical,medium
What certifications are valuable for a project manager?,project_manager,technical,medium
How does a project manager collaborate with other teams?,project_manager,technical,medium
What is your approach to continuous improvement as a project manager?,project_manager,technical,medium
How do you handle competing priorities as a project manager?,project_manager,technical,medium
What does great performance look like for a project manager?,project_manager,technical,medium
How do you approach professional development as a project manager?,project_manager,technical,medium
What industry trends should a project manager know about?,project_manager,technical,medium
How do you build credibility as a project manager?,project_manager,technical,medium
What are the common mistakes new project managers make?,project_manager,technical,medium
How do you demonstrate value as a project manager?,project_manager,technical,medium
What are the key responsibilities of a project manager?,project_manager,technical,medium
How do you stay updated in the project manager field?,project_manager,technical,medium
What tools does a project manager use daily?,project_manager,technical,medium
What are the biggest challenges facing project managers today?,project_manager,technical,medium
How do you measure success as a project manager?,project_manager,technical,medium
What certifications are valuable for a project manager?,project_manager,technical,medium
How does a project manager collaborate with other teams?,project_manager,technical,medium
What is your approach to continuous improvement as a project manager?,project_manager,technical,medium
How do you handle competing priorities as a project manager?,project_manager,technical,medium
What does great performance look like for a project manager?,project_manager,technical,medium
How do you approach professional development as a project manager?,project_manager,technical,medium
What industry trends should a project manager know about?,project_manager,technical,medium
How do you build credibility as a project manager?,project_manager,technical,medium
What are the common mistakes new project managers make?,project_manager,technical,medium
How do you demonstrate value as a project manager?,project_manager,technical,medium
What are the key responsibilities of a project manager?,project_manager,technical,medium
How do you stay updated in the project manager field?,project_manager,technical,medium
What tools does a project manager use daily?,project_manager,technical,medium
What are the biggest challenges facing project managers today?,project_manager,technical,medium
How do you measure success as a project manager?,project_manager,technical,medium
What certifications are valuable for a project manager?,project_manager,technical,medium
How does a project manager collaborate with other teams?,project_manager,technical,medium
What is your approach to continuous improvement as a project manager?,project_manager,technical,medium
How do you handle competing priorities as a project manager?,project_manager,technical,medium
What does great performance look like for a project manager?,project_manager,technical,medium
How do you approach professional development as a project manager?,project_manager,technical,medium
What industry trends should a project manager know about?,project_manager,technical,medium
How do you build credibility as a project manager?,project_manager,technical,medium
