question,role,category,difficulty
What is a business analyst?,business_analyst,technical,easy
What is a requirements document?,business_analyst,technical,easy
What is a use case?,business_analyst,technical,easy
What is the difference between functional and non-functional requirements?,business_analyst,technical,easy
What is a stakeholder?,business_analyst,technical,easy
What is a gap analysis?,business_analyst,technical,easy
What is a SWOT analysis?,business_analyst,technical,easy
What tools do business analysts use?,business_analyst,technical,easy
Why do you want to be a business analyst?,business_analyst,technical,easy
How do you gather requirements from stakeholders?,business_analyst,technical,easy
Tell me about working with a difficult stakeholder.,business_analyst,technical,easy
Describe a time you documented a complex process.,business_analyst,technical,easy
How do you ensure requirements are complete?,business_analyst,technical,easy
What is a RACI matrix?,business_analyst,technical,easy
What is Agile methodology?,business_analyst,technical,easy
What are the key responsibilities of a business analyst?,business_analyst,technical,easy
How do you stay updated in the business analyst field?,business_analyst,technical,easy
What tools does a business analyst use daily?,business_analyst,technical,easy
What are the biggest challenges facing business analysts today?,business_analyst,technical,easy
How do you measure success as a business analyst?,business_analyst,technical,easy
What certifications are valuable for a business analyst?,business_analyst,technical,easy
How does a business analyst collaborate with other teams?,business_analyst,technical,easy
What is your approach to continuous improvement as a business analyst?,business_analyst,technical,easy
How do you handle competing priorities as a business analyst?,business_analyst,technical,easy
What does great performance look like for a business analyst?,business_analyst,technical,easy
How do you approach professional development as a business analyst?,business_analyst,technical,easy
What industry trends should a business analyst know about?,business_analyst,technical,easy
How do you build credibility as a business analyst?,business_analyst,technical,easy
What are the common mistakes new business analysts make?,business_analyst,technical,easy
How do you demonstrate value as a business analyst?,business_analyst,technical,easy
What are the key responsibilities of a business analyst?,business_analyst,technical,easy
How do you stay updated in the business analyst field?,business_analyst,technical,easy
What tools does a business analyst use daily?,business_analyst,technical,easy
What are the biggest challenges facing business analysts today?,business_analyst,technical,easy
How do you measure success as a business analyst?,business_analyst,technical,easy
What certifications are valuable for a business analyst?,business_analyst,technical,easy
How does a business analyst collaborate with other teams?,business_analyst,technical,easy
What is your approach to continuous improvement as a business analyst?,business_analyst,technical,easy
How do you handle competing priorities as a business analyst?,business_analyst,technical,easy
What does great performance look like for a business analyst?,business_analyst,technical,easy
How do you approach professional development as a business analyst?,business_analyst,technical,easy
What industry trends should a business analyst know about?,business_analyst,technical,easy
How do you build credibility as a business analyst?,business_analyst,technical,easy
What are the common mistakes new business analysts make?,business_analyst,technical,easy
How do you demonstrate value as a business analyst?,business_analyst,technical,easy
What are the key responsibilities of a business analyst?,business_analyst,technical,easy
How do you stay updated in the business analyst field?,business_analyst,technical,easy
What tools does a business analyst use daily?,business_analyst,technical,easy
What are the biggest challenges facing business analysts today?,business_analyst,technical,easy
How do you measure success as a business analyst?,business_analyst,technical,easy
What certifications are valuable for a business analyst?,business_analyst,technical,easy
How does a business analyst collaborate with other teams?,business_analyst,technical,easy
What is your approach to continuous improvement as a business analyst?,business_analyst,technical,easy
How do you handle competing priorities as a business analyst?,business_analyst,technical,easy
What does great performance look like for a business analyst?,business_analyst,technical,easy
How do you approach professional development as a business analyst?,business_analyst,technical,easy
What industry trends should a business analyst know about?,business_analyst,technical,easy
How do you build credibility as a business analyst?,business_analyst,technical,easy
What are the common mistakes new business analysts make?,business_analyst,technical,easy
How do you demonstrate value as a business analyst?,business_analyst,technical,easy
What are the key responsibilities of a business analyst?,business_analyst,technical,easy
How do you stay updated in the business analyst field?,business_analyst,technical,easy
What is process modeling?,business_analyst,technical,medium
What is a data flow diagram?,business_analyst,technical,medium
How do you prioritize requirements?,business_analyst,technical,medium
What is as-is vs to-be process mapping?,business_analyst,technical,medium
How does a BA work in an agile team?,business_analyst,technical,medium
What is a business case?,business_analyst,technical,medium
How do you write user stories?,business_analyst,technical,medium
What is root cause analysis?,business_analyst,technical,medium
How do you validate requirements are met?,business_analyst,technical,medium
Tell me about a process improvement you identified.,business_analyst,technical,medium
Describe translating business needs to technical teams.,business_analyst,technical,medium
How do you handle scope creep?,business_analyst,technical,medium
Tell me about an analysis that led to a major decision.,business_analyst,technical,medium
A project is failing to meet goals. How do you diagnose?,business_analyst,technical,medium
A business unit wants a feature conflicting with another. How do you resolve?,business_analyst,technical,medium
What are the key responsibilities of a business analyst?,business_analyst,technical,medium
How do you stay updated in the business analyst field?,business_analyst,technical,medium
What tools does a business analyst use daily?,business_analyst,technical,medium
