question,role,category,difficulty
What is a product manager's role?,product_sense,technical,easy
What is a user story?,product_sense,technical,easy
What is the difference between a feature and a product?,product_sense,technical,easy
What is an MVP?,product_sense,technical,easy
What is a product roadmap?,product_sense,technical,easy
What is DAU/MAU and why does it matter?,product_sense,technical,easy
What is A/B testing?,product_sense,technical,easy
What is NPS?,product_sense,technical,easy
Why do you want to be a product manager?,product_sense,technical,easy
Tell me about a product you love and why.,product_sense,technical,easy
What are the key responsibilities of a product manager?,product_manager,technical,easy
How do you stay updated in the product manager field?,product_manager,technical,easy
What tools does a product manager use daily?,product_manager,technical,easy
What are the biggest challenges facing product managers today?,product_manager,technical,easy
How do you measure success as a product manager?,product_manager,technical,easy
What certifications are valuable for a product manager?,product_manager,technical,easy
How does a product manager collaborate with other teams?,product_manager,technical,easy
What is your approach to continuous improvement as a product manager?,product_manager,technical,easy
How do you handle competing priorities as a product manager?,product_manager,technical,easy
What does great performance look like for a product manager?,product_manager,technical,easy
How do you approach professional development as a product manager?,product_manager,technical,easy
What industry trends should a product manager know about?,product_manager,technical,easy
How do you build credibility as a product manager?,product_manager,technical,easy
What are the common mistakes new product managers make?,product_manager,technical,easy
How do you demonstrate value as a product manager?,product_manager,technical,easy
What are the key responsibilities of a product manager?,product_manager,technical,easy
How do you stay updated in the product manager field?,product_manager,technical,easy
What tools does a product manager use daily?,product_manager,technical,easy
What are the biggest challenges facing product managers today?,product_manager,technical,easy
How do you measure success as a product manager?,product_manager,technical,easy
What certifications are valuable for a product manager?,product_manager,technical,easy
How does a product manager collaborate with other teams?,product_manager,technical,easy
What is your approach to continuous improvement as a product manager?,product_manager,technical,easy
How do you handle competing priorities as a product manager?,product_manager,technical,easy
What does great performance look like for a product manager?,product_manager,technical,easy
How do you approach professional development as a product manager?,product_manager,technical,easy
What industry trends should a product manager know about?,product_manager,technical,easy
How do you build credibility as a product manager?,product_manager,technical,easy
What are the common mistakes new product managers make?,product_manager,technical,easy
How do you demonstrate value as a product manager?,product_manager,technical,easy
What are the key responsibilities of a product manager?,product_manager,technical,easy
How do you stay updated in the product manager field?,product_manager,technical,easy
What tools does a product manager use daily?,product_manager,technical,easy
What are the biggest challenges facing product managers today?,product_manager,technical,easy
How do you measure success as a product manager?,product_manager,technical,easy
What certifications are valuable for a product manager?,product_manager,technical,easy
How does a product manager collaborate with other teams?,product_manager,technical,easy
What is your approach to continuous improvement as a product manager?,product_manager,technical,easy
How do you handle competing priorities as a product manager?,product_manager,technical,easy
What does great performance look like for a product manager?,product_manager,technical,easy
How do you approach professional development as a product manager?,product_manager,technical,easy
What industry trends should a product manager know about?,product_manager,technical,easy
How do you build credibility as a product manager?,product_manager,technical,easy
What are the common mistakes new product managers make?,product_manager,technical,easy
How do you demonstrate value as a product manager?,product_manager,technical,easy
What are the key responsibilities of a product manager?,product_manager,technical,easy
How do you stay updated in the product manager field?,product_manager,technical,easy
What tools does a product manager use daily?,product_manager,technical,easy
What are the biggest challenges facing product managers today?,product_manager,technical,easy
How do you measure success as a product manager?,product_manager,technical,easy
What certifications are valuable for a product manager?,product_manager,technical,easy
How does a product manager collaborate with other teams?,product_manager,technical,easy
How do you prioritize features?,product_sense,technical,medium
How would you define success metrics for a new feature?,product_sense,technical,medium
Walk me through how you would design an alarm clock app.,product_sense,technical,medium
How do you handle conflicting feedback from users and engineering?,product_sense,technical,medium
Tell me about a product decision you made and why.,product_sense,technical,medium
How would you improve Google Maps?,product_sense,technical,medium
What is the RICE prioritization framework?,product_sense,technical,medium
How do you know when a product is ready to launch?,product_sense,technical,medium
How would you increase retention for a mobile app?,product_sense,technical,medium
A key metric drops 20% overnight. How do you investigate?,product_sense,technical,medium
What are the key responsibilities of a product manager?,product_manager,technical,medium
How do you stay updated in the product manager field?,product_manager,technical,medium
What tools does a product manager use daily?,product_manager,technical,medium
What are the biggest challenges facing product managers today?,product_manager,technical,medium
How do you measure success as a product manager?,product_manager,technical,medium
What certifications are valuable for a product manager?,product_manager,technical,medium
How does a product manager collaborate with other teams?,product_manager,technical,medium
What is your approach to continuous improvement as a product manager?,product_manager,technical,medium
How do you handle competing priorities as a product manager?,product_manager,technical,medium
What does great performance look like for a product manager?,product_manager,technical,medium
How do you approach professional development as a product manager?,product_manager,technical,medium
What industry trends should a product manager know about?,product_manager,technical,medium
How do you build credibility as a product manager?,product_manager,technical,medium
What are the common mistakes new product managers make?,product_manager,technical,medium
How do you demonstrate value as a product manager?,product_manager,technical,medium
What are the key responsibilities of a product manager?,product_manager,technical,medium
How do you stay updated in the product manager field?,product_manager,technical,medium
What tools does a product manager use daily?,product_manager,technical,medium
What are the biggest challenges facing product managers today?,product_manager,technical,medium
How do you measure success as a product manager?,product_manager,technical,medium
What certifications are valuable for a product manager?,product_manager,technical,medium
How does a product manager collaborate with other teams?,product_manager,technical,medium
What is your approach to continuous improvement as a product manager?,product_manager,technical,medium
How do you handle competing priorities as a product manager?,product_manager,technical,medium
What does great performance look like for a product manager?,product_manager,technical,medium
How do you approach professional development as a product manager?,product_manager,technical,medium
What industry trends should a product manager know about?,product_manager,technical,medium
How do you build credibility as a product manager?,product_manager,technical,medium
What are the common mistakes new product managers make?,product_manager,technical,medium
How do you demonstrate value as a product manager?,product_manager,technical,medium
What are the key responsibilities of a product manager?,product_manager,technical,medium
How do you stay updated in the product manager field?,product_manager,technical,medium
What tools does a product manager use daily?,product_manager,technical,medium
What are the biggest challenges facing product managers today?,product_manager,technical,medium
How do you measure success as a product manager?,product_manager,technical,medium
What certifications are valuable for a product manager?,product_manager,technical,medium
How does a product manager collaborate with other teams?,product_manager,technical,medium
What is your approach to continuous improvement as a product manager?,product_manager,technical,medium
How do you handle competing priorities as a product manager?,product_manager,technical,medium
What does great performance look like for a product manager?,product_manager,technical,medium
How do you approach professional development as a product manager?,product_manager,technical,medium
What industry trends should a product manager know about?,product_manager,technical,medium
How do you build credibility as a product manager?,product_manager,technical,medium
What are the common mistakes new product managers make?,product_manager,technical,medium
How do you demonstrate value as a product manager?,product_manager,technical,medium
What are the key responsibilities of a product manager?,product_manager,technical,medium
How do you stay updated in the product manager field?,product_manager,technical,medium
What tools does a product manager use daily?,product_manager,technical,medium
What are the biggest challenges facing product managers today?,product_manager,technical,medium
How do you measure success as a product manager?,product_manager,technical,medium
What certifications are valuable for a product manager?,product_manager,technical,medium
How does a product manager collaborate with other teams?,product_manager,technical,medium
How would you build a product strategy for a new market?,product_sense,technical,hard
Design a product for elderly users to manage medications.,product_sense,technical,hard
"How would you decide whether to build, buy or partner?",product_sense,technical,hard
How do you measure the ROI of a product initiative?,product_sense,technical,hard
Describe a product you launched. What was the outcome?,product_sense,technical,hard
Tell me about a time your product failed. What did you learn?,product_sense,technical,hard
How would you prioritize a product roadmap with 10 competing features and limited eng capacity?,product_sense,technical,hard
How would you turn around a product that has been losing users for 6 months?,product_sense,technical,hard
How would you design a monetization strategy for a free consumer app?,product_sense,technical,hard
A competitor launches a feature that makes your core feature obsolete. How do you respond?,product_sense,technical,hard
What are the key responsibilities of a product manager?,product_manager,technical,hard
How do you stay updated in the product manager field?,product_manager,technical,hard
What tools does a product manager use daily?,product_manager,technical,hard
What are the biggest challenges facing product managers today?,product_manager,technical,hard
How do you measure success as a product manager?,product_manager,technical,hard
What certifications are valuable for a product manager?,product_manager,technical,hard
How does a product manager collaborate with other teams?,product_manager,technical,hard
What is your approach to continuous improvement as a product manager?,product_manager,technical,hard
