question,role,category,difficulty
What is a balance sheet?,financial_analyst,technical,easy
What is the difference between revenue and profit?,financial_analyst,technical,easy
What is cash flow?,financial_analyst,technical,easy
What is NPV?,financial_analyst,technical,easy
What is EBITDA?,financial_analyst,technical,easy
What is a P&L statement?,financial_analyst,technical,easy
What is working capital?,financial_analyst,technical,easy
What is ROI?,financial_analyst,technical,easy
What is depreciation?,financial_analyst,technical,easy
Why do you want to be a financial analyst?,financial_analyst,technical,easy
What are your strengths in financial analysis?,financial_analyst,technical,easy
How do you stay updated on financial markets?,financial_analyst,technical,easy
Describe a time you worked with numbers under pressure.,financial_analyst,technical,easy
What is equity?,financial_analyst,technical,easy
What is the difference between fixed and variable costs?,financial_analyst,technical,easy
What are the key responsibilities of a financial analyst?,financial_analyst,technical,easy
How do you stay updated in the financial analyst field?,financial_analyst,technical,easy
What tools does a financial analyst use daily?,financial_analyst,technical,easy
What are the biggest challenges facing financial analysts today?,financial_analyst,technical,easy
How do you measure success as a financial analyst?,financial_analyst,technical,easy
What certifications are valuable for a financial analyst?,financial_analyst,technical,easy
How does a financial analyst collaborate with other teams?,financial_analyst,technical,easy
What is your approach to continuous improvement as a financial analyst?,financial_analyst,technical,easy
How do you handle competing priorities as a financial analyst?,financial_analyst,technical,easy
What does great performance look like for a financial analyst?,financial_analyst,technical,easy
How do you approach professional development as a financial analyst?,financial_analyst,technical,easy
What industry trends should a financial analyst know about?,financial_analyst,technical,easy
How do you build credibility as a financial analyst?,financial_analyst,technical,easy
What are the common mistakes new financial analysts make?,financial_analyst,technical,easy
How do you demonstrate value as a financial analyst?,financial_analyst,technical,easy
What are the key responsibilities of a financial analyst?,financial_analyst,technical,easy
How do you stay updated in the financial analyst field?,financial_analyst,technical,easy
What tools does a financial analyst use daily?,financial_analyst,technical,easy
What are the biggest challenges facing financial analysts today?,financial_analyst,technical,easy
How do you measure success as a financial analyst?,financial_analyst,technical,easy
What certifications are valuable for a financial analyst?,financial_analyst,technical,easy
How does a financial analyst collaborate with other teams?,financial_analyst,technical,easy
What is your approach to continuous improvement as a financial analyst?,financial_analyst,technical,easy
How do you handle competing priorities as a financial analyst?,financial_analyst,technical,easy
What does great performance look like for a financial analyst?,financial_analyst,technical,easy
How do you approach professional development as a financial analyst?,financial_analyst,technical,easy
What industry trends should a financial analyst know about?,financial_analyst,technical,easy
How do you build credibility as a financial analyst?,financial_analyst,technical,easy
What are the common mistakes new financial analysts make?,financial_analyst,technical,easy
How do you demonstrate value as a financial analyst?,financial_analyst,technical,easy
What are the key responsibilities of a financial analyst?,financial_analyst,technical,easy
How do you stay updated in the financial analyst field?,financial_analyst,technical,easy
What tools does a financial analyst use daily?,financial_analyst,technical,easy
What are the biggest challenges facing financial analysts today?,financial_analyst,technical,easy
How do you measure success as a financial analyst?,financial_analyst,technical,easy
What certifications are valuable for a financial analyst?,financial_analyst,technical,easy
How does a financial analyst collaborate with other teams?,financial_analyst,technical,easy
What is your approach to continuous improvement as a financial analyst?,financial_analyst,technical,easy
How do you handle competing priorities as a financial analyst?,financial_analyst,technical,easy
What does great performance look like for a financial analyst?,financial_analyst,technical,easy
How do you approach professional development as a financial analyst?,financial_analyst,technical,easy
What industry trends should a financial analyst know about?,financial_analyst,technical,easy
How do you build credibility as a financial analyst?,financial_analyst,technical,easy
What are the common mistakes new financial analysts make?,financial_analyst,technical,easy
How do you demonstrate value as a financial analyst?,financial_analyst,technical,easy
What are the key responsibilities of a financial analyst?,financial_analyst,technical,easy
How do you stay updated in the financial analyst field?,financial_analyst,technical,easy
Walk me through a DCF analysis.,financial_analyst,technical,medium
How do you calculate WACC?,financial_analyst,technical,medium
What is the difference between EV/EBITDA and P/E ratio?,financial_analyst,technical,medium
How would you value a company with negative earnings?,financial_analyst,technical,medium
How do interest rates affect bond prices?,financial_analyst,technical,medium
What is financial leverage?,financial_analyst,technical,medium
What is a sensitivity analysis?,financial_analyst,technical,medium
How would you build a three-statement financial model?,financial_analyst,technical,medium
What is the difference between operating and free cash flow?,financial_analyst,technical,medium
Tell me about a time you identified a financial discrepancy.,financial_analyst,technical,medium
How do you prioritize when working on multiple reports?,financial_analyst,technical,medium
Describe a time you presented financial data to non-finance stakeholders.,financial_analyst,technical,medium
A business unit is consistently over budget. How do you investigate?,financial_analyst,technical,medium
How would you analyze whether a company should make an acquisition?,financial_analyst,technical,medium
You notice revenue grows but cash flow declines. What do you investigate?,financial_analyst,technical,medium
