question,role,category,difficulty
What is double-entry bookkeeping?,accountant,technical,easy
What is the difference between debit and credit?,accountant,technical,easy
What is a trial balance?,accountant,technical,easy
What is accounts payable?,accountant,technical,easy
What is the difference between cash and accrual accounting?,accountant,technical,easy
What is a journal entry?,accountant,technical,easy
What is depreciation?,accountant,technical,easy
What is a general ledger?,accountant,technical,easy
What are the basic financial statements?,accountant,technical,easy
Why did you choose accounting?,accountant,technical,easy
How do you stay organized during busy seasons?,accountant,technical,easy
Describe a time you caught an error in financial records.,accountant,technical,easy
What accounting software are you familiar with?,accountant,technical,easy
What is gross profit margin?,accountant,technical,easy
What is accounts receivable?,accountant,technical,easy
What are the key responsibilities of a accountant?,accountant,technical,easy
How do you stay updated in the accountant field?,accountant,technical,easy
What tools does a accountant use daily?,accountant,technical,easy
What are the biggest challenges facing accountants today?,accountant,technical,easy
How do you measure success as a accountant?,accountant,technical,easy
What certifications are valuable for a accountant?,accountant,technical,easy
How does a accountant collaborate with other teams?,accountant,technical,easy
What is your approach to continuous improvement as a accountant?,accountant,technical,easy
How do you handle competing priorities as a accountant?,accountant,technical,easy
What does great performance look like for a accountant?,accountant,technical,easy
How do you approach professional development as a accountant?,accountant,technical,easy
What industry trends should a accountant know about?,accountant,technical,easy
How do you build credibility as a accountant?,accountant,technical,easy
What are the common mistakes new accountants make?,accountant,technical,easy
How do you demonstrate value as a accountant?,accountant,technical,easy
What are the key responsibilities of a accountant?,accountant,technical,easy
How do you stay updated in the accountant field?,accountant,technical,easy
What tools does a accountant use daily?,accountant,technical,easy
What are the biggest challenges facing accountants today?,accountant,technical,easy
How do you measure success as a accountant?,accountant,technical,easy
What certifications are valuable for a accountant?,accountant,technical,easy
How does a accountant collaborate with other teams?,accountant,technical,easy
What is your approach to continuous improvement as a accountant?,accountant,technical,easy
How do you handle competing priorities as a accountant?,accountant,technical,easy
What does great performance look like for a accountant?,accountant,technical,easy
How do you approach professional development as a accountant?,accountant,technical,easy
What industry trends should a accountant know about?,accountant,technical,easy
How do you build credibility as a accountant?,accountant,technical,easy
What are the common mistakes new accountants make?,accountant,technical,easy
How do you demonstrate value as a accountant?,accountant,technical,easy
What are the key responsibilities of a accountant?,accountant,technical,easy
How do you stay updated in the accountant field?,accountant,technical,easy
What tools does a accountant use daily?,accountant,technical,easy
What are the biggest challenges facing accountants today?,accountant,technical,easy
How do you measure success as a accountant?,accountant,technical,easy
What certifications are valuable for a accountant?,accountant,technical,easy
How does a accountant collaborate with other teams?,accountant,technical,easy
What is your approach to continuous improvement as a accountant?,accountant,technical,easy
How do you handle competing priorities as a accountant?,accountant,technical,easy
What does great performance look like for a accountant?,accountant,technical,easy
How do you approach professional development as a accountant?,accountant,technical,easy
What industry trends should a accountant know about?,accountant,technical,easy
How do you build credibility as a accountant?,accountant,technical,easy
What are the common mistakes new accountants make?,accountant,technical,easy
How do you demonstrate value as a accountant?,accountant,technical,easy
What are the key responsibilities of a accountant?,accountant,technical,easy
How do you stay updated in the accountant field?,accountant,technical,easy
What is the difference between FIFO and LIFO?,accountant,technical,medium
How do you reconcile a bank statement?,accountant,technical,medium
What is deferred revenue?,accountant,technical,medium
What is materiality in accounting?,accountant,technical,medium
What is the difference between capex and opex?,accountant,technical,medium
How do you calculate taxable income?,accountant,technical,medium
What is an audit?,accountant,technical,medium
What is goodwill in accounting?,accountant,technical,medium
Explain the matching principle.,accountant,technical,medium
What is the purpose of adjusting entries?,accountant,technical,medium
Tell me about a time you worked under pressure to meet a deadline.,accountant,technical,medium
Describe a time you identified a cost-saving opportunity.,accountant,technical,medium
How do you handle a situation where a manager asks you to record something incorrectly?,accountant,technical,medium
A vendor claims they were not paid but records show they were. How do you investigate?,accountant,technical,medium
How would you set up accounting for a new small business?,accountant,technical,medium
What are the key responsibilities of a accountant?,accountant,technical,medium
How do you stay updated in the accountant field?,accountant,technical,medium
What tools does a accountant use daily?,accountant,technical,medium
What are the biggest challenges facing accountants today?,accountant,technical,medium
How do you measure success as a accountant?,accountant,technical,medium
What certifications are valuable for a accountant?,accountant,technical,medium
How does a accountant collaborate with other teams?,accountant,technical,medium
What is your approach to continuous improvement as a accountant?,accountant,technical,medium
How do you handle competing priorities as a accountant?,accountant,technical,medium
What does great performance look like for a accountant?,accountant,technical,medium
How do you approach professional development as a accountant?,accountant,technical,medium
What industry trends should a accountant know about?,accountant,technical,medium
How do you build credibility as a accountant?,accountant,technical,medium
What are the common mistakes new accountants make?,accountant,technical,medium
How do you demonstrate value as a accountant?,accountant,technical,medium
What are the key responsibilities of a accountant?,accountant,technical,medium
How do you stay updated in the accountant field?,accountant,technical,medium
What tools does a accountant use daily?,accountant,technical,medium
What are the biggest challenges facing accountants today?,accountant,technical,medium
How do you measure success as a accountant?,accountant,technical,medium
What certifications are valuable for a accountant?,accountant,technical,medium
How does a accountant collaborate with other teams?,accountant,technical,medium
What is your approach to continuous improvement as a accountant?,accountant,technical,medium
How do you handle competing priorities as a accountant?,accountant,technical,medium
What does great performance look like for a accountant?,accountant,technical,medium
How do you approach professional development as a accountant?,accountant,technical,medium
What industry trends should a accountant know about?,accountant,technical,medium
How do you build credibility as a accountant?,accountant,technical,medium
What are the common mistakes new accountants make?,accountant,technical,medium
How do you demonstrate value as a accountant?,accountant,technical,medium
What are the key responsibilities of a accountant?,accountant,technical,medium
How do you stay updated in the accountant field?,accountant,technical,medium
What tools does a accountant use daily?,accountant,technical,medium
What are the biggest challenges facing accountants today?,accountant,technical,medium
How do you measure success as a accountant?,accountant,technical,medium
What certifications are valuable for a accountant?,accountant,technical,medium
How does a accountant collaborate with other teams?,accountant,technical,medium
What is your approach to continuous improvement as a accountant?,accountant,technical,medium
How do you handle competing priorities as a accountant?,accountant,technical,medium
What does great performance look like for a accountant?,accountant,technical,medium
How do you approach professional development as a accountant?,accountant,technical,medium
What industry trends should a accountant know about?,accountant,technical,medium
How do you build credibility as a accountant?,accountant,technical,medium
What are the common mistakes new accountants make?,accountant,technical,medium
How do you demonstrate value as a accountant?,accountant,technical,medium
What are the key responsibilities of a accountant?,accountant,technical,medium
How do you stay updated in the accountant field?,accountant,technical,medium
How do you handle complex multi-entity consolidation?,accountant,technical,hard
What is the difference between US GAAP and IFRS?,accountant,technical,hard
Explain revenue recognition under ASC 606.,accountant,technical,hard
How do you account for foreign currency transactions?,accountant,technical,hard
What is lease accounting under ASC 842?,accountant,technical,hard
