question,role,category,difficulty
What is UX design?,ux_designer,technical,easy
What is the difference between UI and UX?,ux_designer,technical,easy
What is a wireframe?,ux_designer,technical,easy
What is a prototype?,ux_designer,technical,easy
What is user research?,ux_designer,technical,easy
What is a persona?,ux_designer,technical,easy
What is a user journey map?,ux_designer,technical,easy
What is usability testing?,ux_designer,technical,easy
What design tools do you use?,ux_designer,technical,easy
What is information architecture?,ux_designer,technical,easy
Why do you want to be a UX designer?,ux_designer,technical,easy
Walk me through your design process.,ux_designer,technical,easy
Tell me about a project you are proud of.,ux_designer,technical,easy
How do you handle feedback on your designs?,ux_designer,technical,easy
How do you work with developers?,ux_designer,technical,easy
What are the key responsibilities of a ux designer?,ux_designer,technical,easy
How do you stay updated in the ux designer field?,ux_designer,technical,easy
What tools does a ux designer use daily?,ux_designer,technical,easy
What are the biggest challenges facing ux designers today?,ux_designer,technical,easy
How do you measure success as a ux designer?,ux_designer,technical,easy
What certifications are valuable for a ux designer?,ux_designer,technical,easy
How does a ux designer collaborate with other teams?,ux_designer,technical,easy
What is your approach to continuous improvement as a ux designer?,ux_designer,technical,easy
How do you handle competing priorities as a ux designer?,ux_designer,technical,easy
What does great performance look like for a ux designer?,ux_designer,technical,easy
How do you approach professional development as a ux designer?,ux_designer,technical,easy
What industry trends should a ux designer know about?,ux_designer,technical,easy
How do you build credibility as a ux designer?,ux_designer,technical,easy
What are the common mistakes new ux designers make?,ux_designer,technical,easy
How do you demonstrate value as a ux designer?,ux_designer,technical,easy
What are the key responsibilities of a ux designer?,ux_designer,technical,easy
How do you stay updated in the ux designer field?,ux_designer,technical,easy
What tools does a ux designer use daily?,ux_designer,technical,easy
What are the biggest challenges facing ux designers today?,ux_designer,technical,easy
How do you measure success as a ux designer?,ux_designer,technical,easy
What certifications are valuable for a ux designer?,ux_designer,technical,easy
How does a ux designer collaborate with other teams?,ux_designer,technical,easy
What is your approach to continuous improvement as a ux designer?,ux_designer,technical,easy
How do you handle competing priorities as a ux designer?,ux_designer,technical,easy
What does great performance look like for a ux designer?,ux_designer,technical,easy
How do you approach professional development as a ux designer?,ux_designer,technical,easy
What industry trends should a ux designer know about?,ux_designer,technical,easy
How do you build credibility as a ux designer?,ux_designer,technical,easy
What are the common mistakes new ux designers make?,ux_designer,technical,easy
How do you demonstrate value as a ux designer?,ux_designer,technical,easy
What are the key responsibilities of a ux designer?,ux_designer,technical,easy
How do you stay updated in the ux designer field?,ux_designer,technical,easy
What tools does a ux designer use daily?,ux_designer,technical,easy
What are the biggest challenges facing ux designers today?,ux_designer,technical,easy
How do you measure success as a ux designer?,ux_designer,technical,easy
What certifications are valuable for a ux designer?,ux_designer,technical,easy
How does a ux designer collaborate with other teams?,ux_designer,technical,easy
What is your approach to continuous improvement as a ux designer?,ux_designer,technical,easy
How do you handle competing priorities as a ux designer?,ux_designer,technical,easy
What does great performance look like for a ux designer?,ux_designer,technical,easy
How do you approach professional development as a ux designer?,ux_designer,technical,easy
What industry trends should a ux designer know about?,ux_designer,technical,easy
How do you build credibility as a ux designer?,ux_designer,technical,easy
What are the common mistakes new ux designers make?,ux_designer,technical,easy
How do you demonstrate value as a ux designer?,ux_designer,technical,easy
What are the key responsibilities of a ux designer?,ux_designer,technical,easy
How do you stay updated in the ux designer field?,ux_designer,technical,easy
What is design thinking?,ux_designer,technical,medium
How do you conduct user interviews?,ux_designer,technical,medium
What is an affinity diagram?,ux_designer,technical,medium
How do you measure UX success?,ux_designer,technical,medium
What is accessibility in design?,ux_designer,technical,medium
What is the difference between qualitative and quantitative research?,ux_designer,technical,medium
How do you design for mobile-first?,ux_designer,technical,medium
What is a design system?,ux_designer,technical,medium
How do you handle conflicting stakeholder feedback?,ux_designer,technical,medium
Tell me about a time your design improved a product metric.,ux_designer,technical,medium
Describe a time you redesigned due to user feedback.,ux_designer,technical,medium
How do you advocate for the user vs business goals?,ux_designer,technical,medium
You have 2 weeks to redesign a checkout flow. Walk me through it.,ux_designer,technical,medium
How would you design an onboarding experience for a new app?,ux_designer,technical,medium
A feature you designed has poor engagement. How do you diagnose it?,ux_designer,technical,medium
What are the key responsibilities of a ux designer?,ux_designer,technical,medium
How do you stay updated in the ux designer field?,ux_designer,technical,medium
What tools does a ux designer use daily?,ux_designer,technical,medium
What are the biggest challenges facing ux designers today?,ux_designer,technical,medium
How do you measure success as a ux designer?,ux_designer,technical,medium
What certifications are valuable for a ux designer?,ux_designer,technical,medium
How does a ux designer collaborate with other teams?,ux_designer,technical,medium
What is your approach to continuous improvement as a ux designer?,ux_designer,technical,medium
How do you handle competing priorities as a ux designer?,ux_designer,technical,medium
What does great performance look like for a ux designer?,ux_designer,technical,medium
How do you approach professional development as a ux designer?,ux_designer,technical,medium
What industry trends should a ux designer know about?,ux_designer,technical,medium
How do you build credibility as a ux designer?,ux_designer,technical,medium
What are the common mistakes new ux designers make?,ux_designer,technical,medium
How do you demonstrate value as a ux designer?,ux_designer,technical,medium
What are the key responsibilities of a ux designer?,ux_designer,technical,medium
How do you stay updated in the ux designer field?,ux_designer,technical,medium
What tools does a ux designer use daily?,ux_designer,technical,medium
What are the biggest challenges facing ux designers today?,ux_designer,technical,medium
How do you measure success as a ux designer?,ux_designer,technical,medium
What certifications are valuable for a ux designer?,ux_designer,technical,medium
How does a ux designer collaborate with other teams?,ux_designer,technical,medium
What is your approach to continuous improvement as a ux designer?,ux_designer,technical,medium
How do you handle competing priorities as a ux designer?,ux_designer,technical,medium
What does great performance look like for a ux designer?,ux_designer,technical,medium
How do you approach professional development as a ux designer?,ux_designer,technical,medium
What industry trends should a ux designer know about?,ux_designer,technical,medium
How do you build credibility as a ux designer?,ux_designer,technical,medium
What are the common mistakes new ux designers make?,ux_designer,technical,medium
How do you demonstrate value as a ux designer?,ux_designer,technical,medium
What are the key responsibilities of a ux designer?,ux_designer,technical,medium
How do you stay updated in the ux designer field?,ux_designer,technical,medium
What tools does a ux designer use daily?,ux_designer,technical,medium
What are the biggest challenges facing ux designers today?,ux_designer,technical,medium
How do you measure success as a ux designer?,ux_designer,technical,medium
What certifications are valuable for a ux designer?,ux_designer,technical,medium
How does a ux designer collaborate with other teams?,ux_designer,technical,medium
What is your approach to continuous improvement as a ux designer?,ux_designer,technical,medium
How do you handle competing priorities as a ux designer?,ux_designer,technical,medium
What does great performance look like for a ux designer?,ux_designer,technical,medium
How do you approach professional development as a ux designer?,ux_designer,technical,medium
What industry trends should a ux designer know about?,ux_designer,technical,medium
How do you build credibility as a ux designer?,ux_designer,technical,medium
What are the common mistakes new ux designers make?,ux_designer,technical,medium
How do you demonstrate value as a ux designer?,ux_designer,technical,medium
What are the key responsibilities of a ux designer?,ux_designer,technical,medium
How do you stay updated in the ux designer field?,ux_designer,technical,medium
How do you run a design sprint?,ux_designer,technical,hard
What is jobs-to-be-done framework?,ux_designer,technical,hard
How do you design for cross-platform consistency?,ux_designer,technical,hard
What is emotional design?,ux_designer,technical,hard
How do you scale a design system?,ux_designer,technical,hard
Describe the most complex UX problem you have solved.,ux_designer,technical,hard
Tell me about changing product direction through research.,ux_designer,technical,hard
How have you built design culture in an engineering-led company?,ux_designer,technical,hard
How would you redesign a government website used by millions?,ux_designer,technical,hard
Design a health app for elderly users in rural areas.,ux_designer,technical,hard
How would you establish a UX research practice from scratch?,ux_designer,technical,hard
A product has 50% drop-off at signup. How do you fix it?,ux_designer,technical,hard
How do you design for users with low digital literacy?,ux_designer,technical,hard
What is service design and how does it extend UX?,ux_designer,technical,hard
How do you measure ROI of a UX redesign?,ux_designer,technical,hard
What are the key responsibilities of a ux designer?,ux_designer,technical,hard
How do you stay updated in the ux designer field?,ux_designer,technical,hard
What tools does a ux designer use daily?,ux_designer,technical,hard
What are the biggest challenges facing ux designers today?,ux_designer,technical,hard
How do you measure success as a ux designer?,ux_designer,technical,hard
What certifications are valuable for a ux designer?,ux_designer,technical,hard
How does a ux designer collaborate with other teams?,ux_designer,technical,hard
What is your approach to continuous improvement as a ux designer?,ux_designer,technical,hard
How do you handle competing priorities as a ux designer?,ux_designer,technical,hard
What does great performance look like for a ux designer?,ux_designer,technical,hard
How do you approach professional development as a ux designer?,ux_designer,technical,hard
What industry trends should a ux designer know about?,ux_designer,technical,hard
How do you build credibility as a ux designer?,ux_designer,technical,hard
What are the common mistakes new ux designers make?,ux_designer,technical,hard
How do you demonstrate value as a ux designer?,ux_designer,technical,hard
What are the key responsibilities of a ux designer?,ux_designer,technical,hard
How do you stay updated in the ux designer field?,ux_designer,technical,hard
What tools does a ux designer use daily?,ux_designer,technical,hard
What are the biggest challenges facing ux designers today?,ux_designer,technical,hard
How do you measure success as a ux designer?,ux_designer,technical,hard
What certifications are valuable for a ux designer?,ux_designer,technical,hard
How does a ux designer collaborate with other teams?,ux_designer,technical,hard
What is your approach to continuous improvement as a ux designer?,ux_designer,technical,hard
How do you handle competing priorities as a ux designer?,ux_designer,technical,hard
What does great performance look like for a ux designer?,ux_designer,technical,hard
How do you approach professional development as a ux designer?,ux_designer,technical,hard
What industry trends should a ux designer know about?,ux_designer,technical,hard
How do you build credibility as a ux designer?,ux_designer,technical,hard
What are the common mistakes new ux designers make?,ux_designer,technical,hard
How do you demonstrate value as a ux designer?,ux_designer,technical,hard
What are the key responsibilities of a ux designer?,ux_designer,technical,hard
How do you stay updated in the ux designer field?,ux_designer,technical,hard
What tools does a ux designer use daily?,ux_designer,technical,hard
What are the biggest challenges facing ux designers today?,ux_designer,technical,hard
How do you measure success as a ux designer?,ux_designer,technical,hard
What certifications are valuable for a ux designer?,ux_designer,technical,hard
How does a ux designer collaborate with other teams?,ux_designer,technical,hard
What is your approach to continuous improvement as a ux designer?,ux_designer,technical,hard
How do you handle competing priorities as a ux designer?,ux_designer,technical,hard
What does great performance look like for a ux designer?,ux_designer,technical,hard
How do you approach professional development as a ux designer?,ux_designer,technical,hard
What industry trends should a ux designer know about?,ux_designer,technical,hard
How do you build credibility as a ux designer?,ux_designer,technical,hard
What are the common mistakes new ux designers make?,ux_designer,technical,hard
How do you demonstrate value as a ux designer?,ux_designer,technical,hard
What are the key responsibilities of a ux designer?,ux_designer,technical,hard
How do you stay updated in the ux designer field?,ux_designer,technical,hard
