question,role,category,difficulty
What is a data structure?,technical,technical,easy
What is an array?,technical,technical,easy
What is a linked list?,technical,technical,easy
What is a stack?,technical,technical,easy
What is a queue?,technical,technical,easy
What is recursion?,technical,technical,easy
What is Big O notation?,technical,technical,easy
What is object-oriented programming?,technical,technical,easy
What is the difference between a class and an object?,technical,technical,easy
What is binary search?,technical,technical,easy
What is a hash table?,technical,technical,easy
What is the difference between SQL and NoSQL?,technical,technical,easy
What is a REST API?,technical,technical,easy
What is version control?,technical,technical,easy
What is the difference between HTTP and HTTPS?,technical,technical,easy
What is inheritance in OOP?,technical,technical,easy
What is polymorphism?,technical,technical,easy
What is encapsulation?,technical,technical,easy
What is abstraction in programming?,technical,technical,easy
What is a compiler vs an interpreter?,technical,technical,easy
What is the difference between a stack and a heap?,technical,technical,easy
What is a null pointer?,technical,technical,easy
What is a variable?,technical,technical,easy
What is a function vs a method?,technical,technical,easy
What is a loop and name three types?,technical,technical,easy
What is the difference between pass by value and pass by reference?,technical,technical,easy
What is an interface in programming?,technical,technical,easy
What is a database index?,technical,technical,easy
What is a foreign key?,technical,technical,easy
What is a primary key?,technical,technical,easy
What is the difference between GET and POST?,technical,technical,easy
What is JSON?,technical,technical,easy
What is an API?,technical,technical,easy
What is the difference between synchronous and asynchronous code?,technical,technical,easy
What is a thread?,technical,technical,easy
What is a boolean?,technical,technical,easy
What is a conditional statement?,technical,technical,easy
What is a merge sort?,technical,technical,easy
What is bubble sort?,technical,technical,easy
What is a tree data structure?,technical,technical,easy
What is a graph?,technical,technical,easy
What is a queue vs a stack?,technical,technical,easy
What is the purpose of a constructor?,technical,technical,easy
What is an exception?,technical,technical,easy
What is try-catch used for?,technical,technical,easy
What is a static method?,technical,technical,easy
What is the difference between == and .equals() in Java?,technical,technical,easy
What is the difference between i++ and ++i?,technical,technical,easy
What is a module in programming?,technical,technical,easy
What is the difference between mutable and immutable?,technical,technical,easy
Tell me about yourself as a developer.,technical,technical,behavioral
Why do you want to be a software engineer?,technical,technical,behavioral
What programming languages are you comfortable with?,technical,technical,behavioral
Describe a project you are proud of.,technical,technical,behavioral
How do you keep your technical skills updated?,technical,technical,behavioral
How do you approach learning a new programming language?,technical,technical,behavioral
Describe your experience with collaborative coding.,technical,technical,behavioral
How do you handle code reviews?,technical,technical,behavioral
What is your favorite programming language and why?,technical,technical,behavioral
How do you test your code?,technical,technical,behavioral
How do you handle repetitive coding tasks?,technical,technical,behavioral
What do you do when you get stuck on a bug?,technical,technical,behavioral
How does garbage collection work?,technical,technical,medium
Explain dynamic programming.,technical,technical,medium
What is the difference between a process and a thread?,technical,technical,medium
How does a hash map handle collisions?,technical,technical,medium
What is the time complexity of quicksort?,technical,technical,medium
Explain the difference between BFS and DFS.,technical,technical,medium
What is a deadlock?,technical,technical,medium
What is the CAP theorem?,technical,technical,medium
What is dependency injection?,technical,technical,medium
Explain SOLID principles.,technical,technical,medium
What is memoization?,technical,technical,medium
How does indexing improve database performance?,technical,technical,medium
What is a binary tree traversal?,technical,technical,medium
