question,role,category,difficulty
What is the role of HR?,hr_manager,technical,easy
What is recruitment?,hr_manager,technical,easy
What is onboarding?,hr_manager,technical,easy
What is performance management?,hr_manager,technical,easy
What is employee engagement?,hr_manager,technical,easy
What is attrition rate?,hr_manager,technical,easy
What is the difference between a job description and job specification?,hr_manager,technical,easy
What is a KPI in HR?,hr_manager,technical,easy
Why do you want to work in HR?,hr_manager,technical,easy
Tell me about a time you resolved an employee conflict.,hr_manager,technical,easy
How do you maintain confidentiality?,hr_manager,technical,easy
Describe a time you helped an employee improve performance.,hr_manager,technical,easy
What HR software have you used?,hr_manager,technical,easy
How do you handle a difficult employee?,hr_manager,technical,easy
What is an employee handbook?,hr_manager,technical,easy
What are the key responsibilities of a hr manager?,hr_manager,technical,easy
How do you stay updated in the hr manager field?,hr_manager,technical,easy
What tools does a hr manager use daily?,hr_manager,technical,easy
What are the biggest challenges facing hr managers today?,hr_manager,technical,easy
How do you measure success as a hr manager?,hr_manager,technical,easy
What certifications are valuable for a hr manager?,hr_manager,technical,easy
How does a hr manager collaborate with other teams?,hr_manager,technical,easy
What is your approach to continuous improvement as a hr manager?,hr_manager,technical,easy
How do you handle competing priorities as a hr manager?,hr_manager,technical,easy
What does great performance look like for a hr manager?,hr_manager,technical,easy
How do you approach professional development as a hr manager?,hr_manager,technical,easy
What industry trends should a hr manager know about?,hr_manager,technical,easy
How do you build credibility as a hr manager?,hr_manager,technical,easy
What are the common mistakes new hr managers make?,hr_manager,technical,easy
How do you demonstrate value as a hr manager?,hr_manager,technical,easy
What are the key responsibilities of a hr manager?,hr_manager,technical,easy
How do you stay updated in the hr manager field?,hr_manager,technical,easy
What tools does a hr manager use daily?,hr_manager,technical,easy
What are the biggest challenges facing hr managers today?,hr_manager,technical,easy
How do you measure success as a hr manager?,hr_manager,technical,easy
What certifications are valuable for a hr manager?,hr_manager,technical,easy
How does a hr manager collaborate with other teams?,hr_manager,technical,easy
What is your approach to continuous improvement as a hr manager?,hr_manager,technical,easy
How do you handle competing priorities as a hr manager?,hr_manager,technical,easy
What does great performance look like for a hr manager?,hr_manager,technical,easy
How do you approach professional development as a hr manager?,hr_manager,technical,easy
What industry trends should a hr manager know about?,hr_manager,technical,easy
How do you build credibility as a hr manager?,hr_manager,technical,easy
