question,role,category,difficulty
What is machine learning?,ml_engineer,technical,easy
What is the difference between supervised and unsupervised learning?,ml_engineer,technical,easy
What is overfitting?,ml_engineer,technical,easy
What is a neural network?,ml_engineer,technical,easy
What is cross-validation?,ml_engineer,technical,easy
What is accuracy and when is it not a good metric?,ml_engineer,technical,easy
What is the difference between classification and regression?,ml_engineer,technical,easy
What ML frameworks have you used?,ml_engineer,technical,easy
Why do you want to be an ML engineer?,ml_engineer,technical,easy
Tell me about an ML project you have built.,ml_engineer,technical,easy
What is a training set and test set?,ml_engineer,technical,easy
What is a feature in ML?,ml_engineer,technical,easy
What is a confusion matrix?,ml_engineer,technical,easy
What is a loss function?,ml_engineer,technical,easy
How do you stay updated on ML research?,ml_engineer,technical,easy
What are the key responsibilities of a ml engineer?,ml_engineer,technical,easy
How do you stay updated in the ml engineer field?,ml_engineer,technical,easy
What tools does a ml engineer use daily?,ml_engineer,technical,easy
What are the biggest challenges facing ml engineers today?,ml_engineer,technical,easy
How do you measure success as a ml engineer?,ml_engineer,technical,easy
What certifications are valuable for a ml engineer?,ml_engineer,technical,easy
How does a ml engineer collaborate with other teams?,ml_engineer,technical,easy
What is your approach to continuous improvement as a ml engineer?,ml_engineer,technical,easy
How do you handle competing priorities as a ml engineer?,ml_engineer,technical,easy
What does great performance look like for a ml engineer?,ml_engineer,technical,easy
How do you approach professional development as a ml engineer?,ml_engineer,technical,easy
What industry trends should a ml engineer know about?,ml_engineer,technical,easy
How do you build credibility as a ml engineer?,ml_engineer,technical,easy
What are the common mistakes new ml engineers make?,ml_engineer,technical,easy
How do you demonstrate value as a ml engineer?,ml_engineer,technical,easy
What are the key responsibilities of a ml engineer?,ml_engineer,technical,easy
How do you stay updated in the ml engineer field?,ml_engineer,technical,easy
What tools does a ml engineer use daily?,ml_engineer,technical,easy
What are the biggest challenges facing ml engineers today?,ml_engineer,technical,easy
How do you measure success as a ml engineer?,ml_engineer,technical,easy
What certifications are valuable for a ml engineer?,ml_engineer,technical,easy
How does a ml engineer collaborate with other teams?,ml_engineer,technical,easy
What is your approach to continuous improvement as a ml engineer?,ml_engineer,technical,easy
How do you handle competing priorities as a ml engineer?,ml_engineer,technical,easy
What does great performance look like for a ml engineer?,ml_engineer,technical,easy
How do you approach professional development as a ml engineer?,ml_engineer,technical,easy
What industry trends should a ml engineer know about?,ml_engineer,technical,easy
How do you build credibility as a ml engineer?,ml_engineer,technical,easy
What are the common mistakes new ml engineers make?,ml_engineer,technical,easy
How do you demonstrate value as a ml engineer?,ml_engineer,technical,easy
What are the key responsibilities of a ml engineer?,ml_engineer,technical,easy
How do you stay updated in the ml engineer field?,ml_engineer,technical,easy
What tools does a ml engineer use daily?,ml_engineer,technical,easy
What are the biggest challenges facing ml engineers today?,ml_engineer,technical,easy
How do you measure success as a ml engineer?,ml_engineer,technical,easy
What certifications are valuable for a ml engineer?,ml_engineer,technical,easy
How does a ml engineer collaborate with other teams?,ml_engineer,technical,easy
What is your approach to continuous improvement as a ml engineer?,ml_engineer,technical,easy
How do you handle competing priorities as a ml engineer?,ml_engineer,technical,easy
What does great performance look like for a ml engineer?,ml_engineer,technical,easy
